データソース,元の表現,変換後
気象庁(実測),晴時々曇後大雨、雷を伴う,雨
気象庁(実測),晴時々曇後雨,雨
気象庁(実測),晴時々曇後雨、みぞれを伴う,雨
気象庁(実測),晴時々曇後雨、大風を伴う,雨
気象庁(実測),晴時々曇後雨、雷を伴う,雨
気象庁(実測),晴時々曇後雨、霧を伴う,雨
気象庁(実測),晴時々曇後雪,雪
気象庁(実測),晴時々曇後雪一時みぞれ,雪
気象庁(実測),晴時々薄曇,晴れ
気象庁(実測),晴時々薄曇、雷を伴う,雨
気象庁(実測),晴時々薄曇一時雨,雨
気象庁(実測),晴時々雨,雨
気象庁(実測),晴時々雨、あられを伴う,雨
気象庁(実測),晴時々雨、みぞれを伴う,雨
気象庁(実測),晴時々雨、大風を伴う,雨
気象庁(実測),晴時々雨、大風・雷を伴う,雨
気象庁(実測),晴時々雨、雷を伴う,雨
気象庁(実測),晴時々雨一時みぞれ、あられを伴う,雨
気象庁(実測),晴時々雨一時曇,雨
気象庁(実測),晴時々雨一時曇、みぞれを伴う,雨
気象庁(実測),晴時々雨一時曇、大風を伴う,雨
気象庁(実測),晴時々雨一時曇、雷を伴う,雨
気象庁(実測),晴時々雨一時曇、雷・あられを伴う,雨
気象庁(実測),晴時々雨一時曇、霧を伴う,雨
気象庁(実測),晴時々雨一時薄曇,雨
気象庁(実測),晴時々雨一時雪,雪
気象庁(実測),晴時々雨一時雪、あられを伴う,雪
気象庁(実測),晴時々雨一時雪、雷・ひょうを伴う,雪
気象庁(実測),晴時々雨後一時曇,雨
気象庁(実測),晴時々雨後一時雪,雪
気象庁(実測),晴時々雨後曇,雨
気象庁(実測),晴時々雨後曇、みぞれを伴う,雨
気象庁(実測),晴時々雨後曇、大風を伴う,雨
気象庁(実測),晴時々雨後曇、雷を伴う,雨
気象庁(実測),晴時々雨後曇一時雪,雪
気象庁(実測),晴時々雪,雪
気象庁(実測),晴時々雪、あられを伴う,雪
気象庁(実測),晴時々雪、みぞれを伴う,雪
気象庁(実測),晴時々雪、大風を伴う,雪
気象庁(実測),晴時々雪、霧を伴う,雪
気象庁(実測),晴時々雪一時みぞれ,雪
気象庁(実測),晴時々雪一時みぞれ後曇,雪
気象庁(実測),晴時々雪一時みぞれ後雨,雪
気象庁(実測),晴時々雪一時曇,雪
気象庁(実測),晴時々雪一時曇、あられを伴う,雪
気象庁(実測),晴時々雪一時曇、みぞれを伴う,雪
気象庁(実測),晴時々雪一時曇、大風を伴う,雪
気象庁(実測),晴時々雪一時薄曇,雪
気象庁(実測),晴時々雪一時雨,雪
気象庁(実測),晴時々雪一時雨、みぞれを伴う,雪
気象庁(実測),晴時々雪一時霧後曇,雪
気象庁(実測),晴時々雪後みぞれ一時曇,雪
気象庁(実測),晴時々雪後みぞれ一時雨,雪
気象庁(実測),晴時々雪後一時曇,雪
気象庁(実測),晴時々雪後曇,雪
気象庁(実測),晴時々雪後曇、みぞれを伴う,雪
気象庁(実測),晴時々雪後曇、大風を伴う,雪
気象庁(実測),晴時々雪後曇、霧を伴う,雪
気象庁(実測),晴時々雪後曇一時みぞれ,雪
気象庁(実測),晴時々雪後曇一時雨,雪
気象庁(実測),晴時々雪後薄曇,雪
気象庁(実測),晴時々霧,晴れ
気象庁(実測),晴時々霧一時曇,晴れ
気象庁(実測),晴時々霧後曇,晴れ
気象庁(実測),暴風雨,雨
気象庁(実測),暴風雨、雷を伴う,雨
気象庁(実測),暴風雨、霧を伴う,雨
気象庁(実測),暴風雨一時曇,雨
気象庁(実測),暴風雨後一時みぞれ,雨
気象庁(実測),暴風雨後一時曇,雨
気象庁(実測),暴風雨後時々曇,雨
気象庁(実測),暴風雨後時々曇一時晴,雨
気象庁(実測),暴風雨後曇,雨
気象庁(実測),暴風雨後曇、雷を伴う,雨
気象庁(実測),暴風雨時々曇,雨
気象庁(実測),暴風雨時々曇、雷を伴う,雨
気象庁(実測),曇,曇り
気象庁(実測),曇、みぞれを伴う,曇り
気象庁(実測),曇、大風を伴う,曇り
気象庁(実測),曇、雷を伴う,雨
気象庁(実測),曇、霧を伴う,曇り
気象庁(実測),曇一時みぞれ,曇り
気象庁(実測),曇一時みぞれ、あられを伴う,曇り
気象庁(実測),曇一時みぞれ、大風を伴う,曇り
気象庁(実測),曇一時みぞれ後一時雪,雪
気象庁(実測),曇一時みぞれ後時々雪,雪
気象庁(実測),曇一時みぞれ後晴,晴れ
気象庁(実測),曇一時みぞれ後晴、雷を伴う,雨
気象庁(実測),曇一時みぞれ後雨,雨
気象庁(実測),曇一時みぞれ後雨、雷を伴う,雨
気象庁(実測),曇一時みぞれ後雨、霧を伴う,雨
気象庁(実測),曇一時みぞれ後雨時々晴,雨
気象庁(実測),曇一時みぞれ後雪,雪
気象庁(実測),曇一時みぞれ後雪時々晴,雪
気象庁(実測),曇一時大雨、雷を伴う,雨
気象庁(実測),曇一時晴,晴れ
気象庁(実測),曇一時晴、みぞれを伴う,晴れ
気象庁(実測),曇一時晴、大風を伴う,晴れ
気象庁(実測),曇一時晴、雷を伴う,雨
気象庁(実測),曇一時晴、霧を伴う,晴れ
気象庁(実測),曇一時晴後みぞれ,晴れ
気象庁(実測),曇一時晴後みぞれ時々雨,雨
気象庁(実測),曇一時晴後みぞれ時々雪,雪
気象庁(実測),曇一時晴後一時みぞれ,晴れ
気象庁(実測),曇一時晴後一時大雨、雷を伴う,雨
気象庁(実測),曇一時晴後一時暴風雨、雷を伴う,雨
気象庁(実測),曇一時晴後一時雨,雨
気象庁(実測),曇一時晴後一時雨、みぞれを伴う,雨
気象庁(実測),曇一時晴後一時雨、雷を伴う,雨
気象庁(実測),曇一時晴後一時雨、霧を伴う,雨
気象庁(実測),曇一時晴後一時雪,雪
気象庁(実測),曇一時晴後一時雪、みぞれを伴う,雪
気象庁(実測),曇一時晴後大雨,雨
気象庁(実測),曇一時晴後大雨、雷を伴う,雨
気象庁(実測),曇一時晴後時々みぞれ,晴れ
気象庁(実測),曇一時晴後時々大雨、雷・霧を伴う,雨
気象庁(実測),曇一時晴後時々雨,雨
気象庁(実測),曇一時晴後時々雨、みぞれを伴う,雨
気象庁(実測),曇一時晴後時々雨、雷を伴う,雨
気象庁(実測),曇一時晴後時々雨、霧を伴う,雨
気象庁(実測),曇一時晴後時々雪,雪
気象庁(実測),曇一時晴後時々雪、あられを伴う,雪
気象庁(実測),曇一時晴後雨,雨
気象庁(実測),曇一時晴後雨、みぞれを伴う,雨
気象庁(実測),曇一時晴後雨、雷を伴う,雨
気象庁(実測),曇一時晴後雨、霧を伴う,雨
気象庁(実測),曇一時晴後雨時々みぞれ,雨
気象庁(実測),曇一時晴後雪,雪
気象庁(実測),曇一時晴後雪、みぞれを伴う,雪
気象庁(実測),曇一時晴後雪、雷を伴う,雪
気象庁(実測),曇一時晴後雪時々みぞれ,雪
気象庁(実測),曇一時雨,雨
気象庁(実測),曇一時雨、あられを伴う,雨
気象庁(実測),曇一時雨、みぞれを伴う,雨
気象庁(実測),曇一時雨、大風を伴う,雨
気象庁(実測),曇一時雨、雷を伴う,雨
気象庁(実測),曇一時雨、霧を伴う,雨
気象庁(実測),曇一時雨後みぞれ,雨
気象庁(実測),曇一時雨後みぞれ時々雪,雪
気象庁(実測),曇一時雨後一時みぞれ,雨
気象庁(実測),曇一時雨後一時晴,雨
気象庁(実測),曇一時雨後一時晴、みぞれを伴う,雨
気象庁(実測),曇一時雨後一時晴、雷を伴う,雨
気象庁(実測),曇一時雨後一時晴、霧を伴う,雨
気象庁(実測),曇一時雨後一時雪、みぞれを伴う,雪
気象庁(実測),曇一時雨後時々みぞれ,雨
気象庁(実測),曇一時雨後時々晴,雨
気象庁(実測),曇一時雨後時々晴、みぞれを伴う,雨
気象庁(実測),曇一時雨後時々晴、大風を伴う,雨
気象庁(実測),曇一時雨後時々晴、雷を伴う,雨
気象庁(実測),曇一時雨後時々晴、霧を伴う,雨
気象庁(実測),曇一時雨後時々雪,雪
気象庁(実測),曇一時雨後時々雪、みぞれを伴う,雪
気象庁(実測),曇一時雨後時々雪、雷を伴う,雪
気象庁(実測),曇一時雨後晴,雨
気象庁(実測),曇一時雨後晴、みぞれを伴う,雨
気象庁(実測),曇一時雨後晴、大風を伴う,雨
気象庁(実測),曇一時雨後晴、雷を伴う,雨
気象庁(実測),曇一時雨後晴、雷・霧を伴う,雨
気象庁(実測),曇一時雨後晴、霧を伴う,雨
気象庁(実測),曇一時雨後晴時々みぞれ,雨
気象庁(実測),曇一時雨後晴時々雪,雪
気象庁(実測),曇一時雨後雪,雪
気象庁(実測),曇一時雨後雪、みぞれを伴う,雪
気象庁(実測),曇一時雨後雪、雷・あられを伴う,雪
気象庁(実測),曇一時雨後雪時々みぞれ,雪
気象庁(実測),曇一時雨後霧,雨
気象庁(実測),曇一時雨時々晴,雨
気象庁(実測),曇一時雪,雪
気象庁(実測),曇一時雪、あられを伴う,雪
気象庁(実測),曇一時雪、みぞれを伴う,雪
気象庁(実測),曇一時雪、霧を伴う,雪
気象庁(実測),曇一時雪後みぞれ,雪
気象庁(実測),曇一時雪後みぞれ、雷を伴う,雪
気象庁(実測),曇一時雪後みぞれ時々晴,雪
気象庁(実測),曇一時雪後みぞれ時々雨,雪
気象庁(実測),曇一時雪後一時みぞれ、雷を伴う,雪
気象庁(実測),曇一時雪後一時晴,雪
気象庁(実測),曇一時雪後一時晴、みぞれを伴う,雪
気象庁(実測),曇一時雪後一時雨,雪
気象庁(実測),曇一時雪後時々晴,雪
気象庁(実測),曇一時雪後時々晴、みぞれを伴う,雪
気象庁(実測),曇一時雪後時々晴、霧を伴う,雪
気象庁(実測),曇一時雪後時々雨,雪
気象庁(実測),曇一時雪後時々雨、みぞれを伴う,雪
気象庁(実測),曇一時雪後晴,雪
気象庁(実測),曇一時雪後晴、みぞれを伴う,雪
気象庁(実測),曇一時雪後晴、霧を伴う,雪
気象庁(実測),曇一時雪後晴時々みぞれ,雪
気象庁(実測),曇一時雪後雨、みぞれを伴う,雪
気象庁(実測),曇一時雪後雨、雷を伴う,雪
気象庁(実測),曇一時雪後雨時々みぞれ,雪
気象庁(実測),曇一時雪後雨時々晴,雪
気象庁(実測),曇一時霧,曇り
気象庁(実測),曇一時霧、みぞれを伴う,曇り
気象庁(実測),曇一時霧後一時雨,雨
気象庁(実測),曇一時霧後一時雨、雷を伴う,雨
気象庁(実測),曇一時霧後時々晴,晴れ
気象庁(実測),曇一時霧後晴,晴れ
気象庁(実測),曇一時霧後雨,雨
気象庁(実測),曇一時霧後雨、大風を伴う,雨
気象庁(実測),曇一時霧後雨、雷を伴う,雨
気象庁(実測),曇一時霧後雪,雪
気象庁(実測),曇一時霧雨,雨
気象庁(実測),曇後みぞれ,曇り
気象庁(実測),曇後みぞれ一時晴,晴れ
気象庁(実測),曇後みぞれ一時雨,雨
気象庁(実測),曇後みぞれ一時雪,雪
気象庁(実測),曇後みぞれ一時雪、雷を伴う,雪
気象庁(実測),曇後みぞれ時々晴,晴れ
気象庁(実測),曇後みぞれ時々晴、雷を伴う,雨
気象庁(実測),曇後みぞれ時々晴一時雨,雨
気象庁(実測),曇後みぞれ時々晴一時雪,雪
気象庁(実測),曇後みぞれ時々雨,雨
気象庁(実測),曇後みぞれ時々雨、大風を伴う,雨
気象庁(実測),曇後みぞれ時々雨、雷を伴う,雨
気象庁(実測),曇後みぞれ時々雨一時晴,雨
気象庁(実測),曇後みぞれ時々雪,雪
気象庁(実測),曇後みぞれ時々雪一時雨,雪
気象庁(実測),曇後一時みぞれ,曇り
気象庁(実測),曇後一時みぞれ一時晴,晴れ
気象庁(実測),曇後一時みぞれ一時雨,雨
気象庁(実測),曇後一時みぞれ時々晴一時雨,雨
気象庁(実測),曇後一時みぞれ時々晴一時雪,雪
気象庁(実測),曇後一時大雨、雷を伴う,雨
気象庁(実測),曇後一時大雨一時晴,雨
気象庁(実測),曇後一時晴,晴れ
気象庁(実測),曇後一時晴、みぞれを伴う,晴れ
気象庁(実測),曇後一時晴、大風を伴う,晴れ
気象庁(実測),曇後一時晴、雷を伴う,雨
気象庁(実測),曇後一時晴、霧を伴う,晴れ
気象庁(実測),曇後一時晴一時雨,雨
気象庁(実測),曇後一時晴一時雨、みぞれを伴う,雨
気象庁(実測),曇後一時晴一時雨、雷を伴う,雨
気象庁(実測),曇後一時晴一時雪,雪
気象庁(実測),曇後一時雨,雨
気象庁(実測),曇後一時雨、みぞれを伴う,雨
気象庁(実測),曇後一時雨、大風を伴う,雨
気象庁(実測),曇後一時雨、雷を伴う,雨
気象庁(実測),曇後一時雨、雷・霧を伴う,雨
気象庁(実測),曇後一時雨、霧を伴う,雨
気象庁(実測),曇後一時雨一時晴,雨
気象庁(実測),曇後一時雨一時晴、みぞれを伴う,雨
気象庁(実測),曇後一時雨一時晴、雷を伴う,雨
気象庁(実測),曇後一時雨後雪、みぞれを伴う,雪
気象庁(実測),曇後一時雪,雪
気象庁(実測),曇後一時雪、みぞれを伴う,雪
気象庁(実測),曇後一時雪、大風を伴う,雪
気象庁(実測),曇後一時雪一時みぞれ,雪
気象庁(実測),曇後一時雪一時晴,雪
気象庁(実測),曇後一時雪一時雨、みぞれを伴う,雪
気象庁(実測),曇後一時雪時々みぞれ一時晴,雪
気象庁(実測),曇後一時雪時々みぞれ一時雨,雪
気象庁(実測),曇後一時霧雨,雨
気象庁(実測),曇後大雨,雨
気象庁(実測),曇後大雨、雷を伴う,雨
気象庁(実測),曇後大雨時々晴,雨
気象庁(実測),曇後大雨時々晴、雷を伴う,雨
気象庁(実測),曇後大雪,雪
気象庁(実測),曇後時々みぞれ,曇り
気象庁(実測),曇後時々みぞれ一時晴,晴れ
気象庁(実測),曇後時々みぞれ一時雨,雨
気象庁(実測),曇後時々みぞれ一時雪,雪
気象庁(実測),曇後時々みぞれ時々晴一時雨,雨
気象庁(実測),曇後時々みぞれ時々晴一時雪,雪
気象庁(実測),曇後時々みぞれ時々雨一時晴,雨
気象庁(実測),曇後時々大雨,雨
気象庁(実測),曇後時々大雨、雷を伴う,雨
気象庁(実測),曇後時々晴,晴れ
気象庁(実測),曇後時々晴、みぞれを伴う,晴れ
気象庁(実測),曇後時々晴、大風を伴う,晴れ
気象庁(実測),曇後時々晴、大風・雷を伴う,雨
気象庁(実測),曇後時々晴、雷を伴う,雨
気象庁(実測),曇後時々晴、霧を伴う,晴れ
気象庁(実測),曇後時々晴一時雨,雨
気象庁(実測),曇後時々晴一時雨、みぞれを伴う,雨
気象庁(実測),曇後時々晴一時雨、雷を伴う,雨
気象庁(実測),曇後時々晴一時雨、霧を伴う,雨
気象庁(実測),曇後時々晴一時雪,雪
気象庁(実測),曇後時々晴一時雪、みぞれを伴う,雪
気象庁(実測),曇後時々雨,雨
気象庁(実測),曇後時々雨、みぞれを伴う,雨
気象庁(実測),曇後時々雨、大風を伴う,雨
気象庁(実測),曇後時々雨、雷を伴う,雨
気象庁(実測),曇後時々雨、霧を伴う,雨
気象庁(実測),曇後時々雨一時晴,雨
気象庁(実測),曇後時々雨一時晴、みぞれを伴う,雨
気象庁(実測),曇後時々雨一時晴、雷を伴う,雨
気象庁(実測),曇後時々雨時々霧一時晴,雨
気象庁(実測),曇後時々雪,雪
気象庁(実測),曇後時々雪、あられを伴う,雪
気象庁(実測),曇後時々雪、みぞれを伴う,雪
気象庁(実測),曇後時々雪、霧を伴う,雪
気象庁(実測),曇後時々雪一時みぞれ,雪
気象庁(実測),曇後時々雪一時晴,雪
気象庁(実測),曇後時々雪一時晴、みぞれを伴う,雪
気象庁(実測),曇後時々霧,曇り
気象庁(実測),曇後晴,晴れ
気象庁(実測),曇後晴、みぞれを伴う,晴れ
気象庁(実測),曇後晴、大風を伴う,晴れ
気象庁(実測),曇後晴、雷を伴う,雨
気象庁(実測),曇後晴、霧を伴う,晴れ
気象庁(実測),曇後晴一時みぞれ,晴れ
気象庁(実測),曇後晴一時雨,雨
気象庁(実測),曇後晴一時雨、みぞれを伴う,雨
気象庁(実測),曇後晴一時雨、大風を伴う,雨
気象庁(実測),曇後晴一時雨、大風・雷を伴う,雨
気象庁(実測),曇後晴一時雨、雷を伴う,雨
気象庁(実測),曇後晴一時雨、雷・ひょうを伴う,雨
気象庁(実測),曇後晴一時雨、雷・霧を伴う,雨
気象庁(実測),曇後晴一時雨、霧を伴う,雨
気象庁(実測),曇後晴一時雪,雪
気象庁(実測),曇後晴一時雪、みぞれを伴う,雪
気象庁(実測),曇後晴一時雪、大風を伴う,雪
気象庁(実測),曇後晴時々みぞれ一時雨,雨
気象庁(実測),曇後晴時々雨,雨
気象庁(実測),曇後晴時々雨、みぞれを伴う,雨
気象庁(実測),曇後晴時々雨、大風・雷を伴う,雨
気象庁(実測),曇後晴時々雨、雷を伴う,雨
気象庁(実測),曇後晴時々雨、雷・霧を伴う,雨
気象庁(実測),曇後晴時々雪,雪
気象庁(実測),曇後晴時々雪、みぞれを伴う,雪
気象庁(実測),曇後晴時々雪、大風を伴う,雪
気象庁(実測),曇後晴時々雪一時みぞれ,雪
気象庁(実測),曇後晴時々雪一時雨,雪
気象庁(実測),曇後晴時々霧,晴れ
気象庁(実測),曇後雨,雨
気象庁(実測),曇後雨、みぞれを伴う,雨
気象庁(実測),曇後雨、雷を伴う,雨
気象庁(実測),曇後雨一時みぞれ,雨
気象庁(実測),曇後雨一時晴,雨
気象庁(実測),曇後雨一時晴、みぞれを伴う,雨
気象庁(実測),曇後雨一時晴、雷を伴う,雨
気象庁(実測),曇後雨一時晴、霧を伴う,雨
気象庁(実測),曇後雨一時雪、みぞれを伴う,雪
気象庁(実測),曇後雨一時霧,雨
気象庁(実測),曇後雨時々みぞれ,雨
気象庁(実測),曇後雨時々晴,雨
気象庁(実測),曇後雨時々晴、みぞれを伴う,雨
気象庁(実測),曇後雨時々晴、雷を伴う,雨
気象庁(実測),曇後雨時々晴、霧を伴う,雨
気象庁(実測),曇後雨時々雪一時みぞれ,雪
気象庁(実測),曇後雪,雪
気象庁(実測),曇後雪、みぞれを伴う,雪
気象庁(実測),曇後雪一時みぞれ,雪
気象庁(実測),曇後雪一時晴,雪
気象庁(実測),曇後雪一時晴、みぞれを伴う,雪
気象庁(実測),曇後雪一時雨,雪
気象庁(実測),曇後雪一時雨、みぞれを伴う,雪
気象庁(実測),曇後雪時々みぞれ,雪
気象庁(実測),曇後雪時々みぞれ、あられを伴う,雪
気象庁(実測),曇後雪時々みぞれ、大風を伴う,雪
気象庁(実測),曇後雪時々みぞれ一時晴,雪
気象庁(実測),曇後雪時々みぞれ一時雨,雪
気象庁(実測),曇後雪時々晴,雪
気象庁(実測),曇後雪時々晴、みぞれを伴う,雪
気象庁(実測),曇後雪時々晴、大風を伴う,雪
気象庁(実測),曇後雪時々晴、霧を伴う,雪
気象庁(実測),曇後雪時々雨、みぞれを伴う,雪
気象庁(実測),曇後雪時々雨一時みぞれ,雪
気象庁(実測),曇時々みぞれ,曇り
気象庁(実測),曇時々みぞれ一時晴,晴れ
気象庁(実測),曇時々みぞれ一時晴、あられを伴う,晴れ
気象庁(実測),曇時々みぞれ一時晴後一時雪,雪
気象庁(実測),曇時々みぞれ一時晴後雨,雨
気象庁(実測),曇時々みぞれ一時雨,雨
気象庁(実測),曇時々みぞれ一時雨、あられを伴う,雨
気象庁(実測),曇時々みぞれ一時雨、雷を伴う,雨
気象庁(実測),曇時々みぞれ一時雨、雷・あられを伴う,雨
気象庁(実測),曇時々みぞれ一時雨後一時雪,雪
気象庁(実測),曇時々みぞれ一時雨後時々晴,雨
気象庁(実測),曇時々みぞれ一時雨後時々雪,雪
気象庁(実測),曇時々みぞれ一時雨後晴,雨
気象庁(実測),曇時々みぞれ一時雨後雪,雪
気象庁(実測),曇時々みぞれ一時雪,雪
気象庁(実測),曇時々みぞれ一時雪、あられを伴う,雪
気象庁(実測),曇時々みぞれ一時雪、雷を伴う,雪
気象庁(実測),曇時々みぞれ一時雪後時々晴,雪
気象庁(実測),曇時々みぞれ一時雪後晴,雪
気象庁(実測),曇時々みぞれ一時雪後雨,雪
気象庁(実測),曇時々みぞれ一時霧,曇り
気象庁(実測),曇時々みぞれ後晴,晴れ
気象庁(実測),曇時々みぞれ後晴、大風を伴う,晴れ
気象庁(実測),曇時々みぞれ後晴一時雨,雨
気象庁(実測),曇時々みぞれ後雨,雨
気象庁(実測),曇時々みぞれ後雨、雷を伴う,雨
気象庁(実測),曇時々みぞれ後雨一時晴,雨
気象庁(実測),曇時々みぞれ後雪,雪
気象庁(実測),曇時々みぞれ後雪、大風を伴う,雪
気象庁(実測),曇時々みぞれ後雪一時晴,雪
気象庁(実測),曇時々みぞれ後雪一時雨,雪
気象庁(実測),曇時々大雨,雨
気象庁(実測),曇時々大雨、雷を伴う,雨
気象庁(実測),曇時々大雨一時晴,雨
気象庁(実測),曇時々大雨一時晴、雷を伴う,雨
気象庁(実測),曇時々晴,晴れ
気象庁(実測),曇時々晴、みぞれを伴う,晴れ
気象庁(実測),曇時々晴、大風を伴う,晴れ
気象庁(実測),曇時々晴、雷を伴う,雨
気象庁(実測),曇時々晴、雷・霧を伴う,雨
気象庁(実測),曇時々晴、霧を伴う,晴れ
気象庁(実測),曇時々晴一時みぞれ,晴れ
気象庁(実測),曇時々晴一時みぞれ、あられを伴う,晴れ
気象庁(実測),曇時々晴一時みぞれ後雪,雪
気象庁(実測),曇時々晴一時雨,雨
気象庁(実測),曇時々晴一時雨、あられを伴う,雨
気象庁(実測),曇時々晴一時雨、ひょうを伴う,雨
気象庁(実測),曇時々晴一時雨、みぞれを伴う,雨
気象庁(実測),曇時々晴一時雨、大風を伴う,雨
気象庁(実測),曇時々晴一時雨、大風・雷を伴う,雨
気象庁(実測),曇時々晴一時雨、雷を伴う,雨
気象庁(実測),曇時々晴一時雨、雷・ひょうを伴う,雨
気象庁(実測),曇時々晴一時雨、雷・霧を伴う,雨
気象庁(実測),曇時々晴一時雨、霧を伴う,雨
気象庁(実測),曇時々晴一時雨後みぞれ,雨
気象庁(実測),曇時々晴一時雪,雪
気象庁(実測),曇時々晴一時雪、あられを伴う,雪
気象庁(実測),曇時々晴一時雪、みぞれを伴う,雪
気象庁(実測),曇時々晴一時雪、大風を伴う,雪
気象庁(実測),曇時々晴一時雪、霧を伴う,雪
気象庁(実測),曇時々晴一時雪後みぞれ,雪
気象庁(実測),曇時々晴一時雪後時々みぞれ,雪
気象庁(実測),曇時々晴一時雪後雨,雪
気象庁(実測),曇時々晴一時霧,晴れ
気象庁(実測),曇時々晴一時霧、みぞれを伴う,晴れ
気象庁(実測),曇時々晴一時霧後雨,雨
気象庁(実測),曇時々晴後みぞれ,晴れ
気象庁(実測),曇時々晴後みぞれ、大風を伴う,晴れ
気象庁(実測),曇時々晴後みぞれ、雷を伴う,雨
気象庁(実測),曇時々晴後みぞれ、霧を伴う,晴れ
気象庁(実測),曇時々晴後みぞれ一時雨,雨
気象庁(実測),曇時々晴後みぞれ一時雪,雪
気象庁(実測),曇時々晴後一時みぞれ,晴れ
気象庁(実測),曇時々晴後一時雨,雨
気象庁(実測),曇時々晴後一時雨、みぞれを伴う,雨
気象庁(実測),曇時々晴後一時雨、雷を伴う,雨
気象庁(実測),曇時々晴後一時雪,雪
気象庁(実測),曇時々晴後大雨,雨
気象庁(実測),曇時々晴後大雨、雷を伴う,雨
気象庁(実測),曇時々晴後時々雨,雨
気象庁(実測),曇時々晴後時々雪,雪
気象庁(実測),曇時々晴後雨,雨
気象庁(実測),曇時々晴後雨、あられを伴う,雨
気象庁(実測),曇時々晴後雨、みぞれを伴う,雨
気象庁(実測),曇時々晴後雨、大風を伴う,雨
気象庁(実測),曇時々晴後雨、大風・雷を伴う,雨
気象庁(実測),曇時々晴後雨、雷を伴う,雨
気象庁(実測),曇時々晴後雨、雷・霧を伴う,雨
気象庁(実測),曇時々晴後雨、霧を伴う,雨
気象庁(実測),曇時々晴後雨一時みぞれ,雨
気象庁(実測),曇時々晴後雨一時雪,雪
気象庁(実測),曇時々晴後雪,雪
気象庁(実測),曇時々晴後雪、みぞれを伴う,雪
気象庁(実測),曇時々晴後雪、大風を伴う,雪
気象庁(実測),曇時々晴後雪、雷を伴う,雪
気象庁(実測),曇時々晴後雪一時みぞれ,雪
気象庁(実測),曇時々暴風雨,雨
気象庁(実測),曇時々雨,雨
気象庁(実測),曇時々雨、あられを伴う,雨
気象庁(実測),曇時々雨、みぞれを伴う,雨
気象庁(実測),曇時々雨、大風を伴う,雨
気象庁(実測),曇時々雨、大風・雷を伴う,雨
気象庁(実測),曇時々雨、雷を伴う,雨
気象庁(実測),曇時々雨、雷・あられを伴う,雨
気象庁(実測),曇時々雨、雷・霧を伴う,雨
気象庁(実測),曇時々雨、霧を伴う,雨
気象庁(実測),曇時々雨一時みぞれ,雨
気象庁(実測),曇時々雨一時みぞれ、あられを伴う,雨
気象庁(実測),曇時々雨一時晴,雨
気象庁(実測),曇時々雨一時晴、あられを伴う,雨
気象庁(実測),曇時々雨一時晴、みぞれを伴う,雨
気象庁(実測),曇時々雨一時晴、大風を伴う,雨
気象庁(実測),曇時々雨一時晴、雷を伴う,雨
気象庁(実測),曇時々雨一時晴、雷・あられを伴う,雨
気象庁(実測),曇時々雨一時晴、雷・霧を伴う,雨
気象庁(実測),曇時々雨一時晴、霧を伴う,雨
気象庁(実測),曇時々雨一時晴後時々みぞれ,雨
気象庁(実測),曇時々雨一時雪,雪
気象庁(実測),曇時々雨一時雪、あられを伴う,雪
気象庁(実測),曇時々雨一時雪、みぞれを伴う,雪
気象庁(実測),曇時々雨一時雪、雷・あられを伴う,雪
気象庁(実測),曇時々雨一時霧,雨
気象庁(実測),曇時々雨一時霧、みぞれを伴う,雨
気象庁(実測),曇時々雨一時霧、雷を伴う,雨
気象庁(実測),曇時々雨一時霧後晴,雨
気象庁(実測),曇時々雨後みぞれ,雨
気象庁(実測),曇時々雨後みぞれ、雷を伴う,雨
気象庁(実測),曇時々雨後みぞれ一時雪,雪
気象庁(実測),曇時々雨後一時晴,雨
気象庁(実測),曇時々雨後一時晴、あられを伴う,雨
気象庁(実測),曇時々雨後一時晴、雷を伴う,雨
気象庁(実測),曇時々雨後一時雪,雪
気象庁(実測),曇時々雨後一時雪、あられを伴う,雪
気象庁(実測),曇時々雨後一時雪、みぞれを伴う,雪
気象庁(実測),曇時々雨後時々晴,雨
気象庁(実測),曇時々雨後晴,雨
気象庁(実測),曇時々雨後晴、あられを伴う,雨
気象庁(実測),曇時々雨後晴、みぞれを伴う,雨
気象庁(実測),曇時々雨後晴、大風を伴う,雨
気象庁(実測),曇時々雨後晴、雷を伴う,雨
気象庁(実測),曇時々雨後晴、霧を伴う,雨
気象庁(実測),曇時々雨後晴一時霧,雨
気象庁(実測),曇時々雨後雪、みぞれを伴う,雪
気象庁(実測),曇時々雨後雪、雷・あられを伴う,雪
気象庁(実測),曇時々雪,雪
気象庁(実測),曇時々雪、あられを伴う,雪
気象庁(実測),曇時々雪、みぞれを伴う,雪
気象庁(実測),曇時々雪、大風を伴う,雪
気象庁(実測),曇時々雪、大風・雷を伴う,雪
気象庁(実測),曇時々雪、雷を伴う,雪
気象庁(実測),曇時々雪、霧を伴う,雪
気象庁(実測),曇時々雪一時みぞれ,雪
気象庁(実測),曇時々雪一時みぞれ、あられを伴う,雪
気象庁(実測),曇時々雪一時みぞれ、雷を伴う,雪
気象庁(実測),曇時々雪一時みぞれ、霧を伴う,雪
気象庁(実測),曇時々雪一時みぞれ後時々晴,雪
気象庁(実測),曇時々雪一時みぞれ後晴,雪
気象庁(実測),曇時々雪一時みぞれ後雨,雪
気象庁(実測),曇時々雪一時晴,雪
気象庁(実測),曇時々雪一時晴、あられを伴う,雪
気象庁(実測),曇時々雪一時晴、みぞれを伴う,雪
気象庁(実測),曇時々雪一時晴、大風を伴う,雪
